episode_global,stage,map_name,evacuation_rate,all_evacuated,mean_evac_time,steps,mean_emotion_final,emotion_variance,mean_speed_ratio,total_reward,epsilon
1,1,mall_small,0.25,0,65.0,300,0.0,0.0,1.0,-1476.49,1.0
2,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1772.3,0.9988
3,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1789.86,0.99
1,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1759.94,1.0
2,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1824.82,0.9971
3,1,mall_small,0.25,0,68.0,300,0.0,0.0,1.0,-1351.67,0.99
4,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1800.61,0.9812
5,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1777.52,0.9725
6,1,mall_small,0.25,0,40.0,300,0.0,0.0,1.0,-1332.38,0.9656
7,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1764.97,0.9568
8,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1802.92,0.9481
9,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1719.15,0.9393
10,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1860.61,0.9305
11,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1795.23,0.9217
12,1,mall_small,0.25,0,17.0,300,0.0,0.0,1.0,-1268.04,0.9151
13,1,mall_small,0.25,0,264.0,300,0.0,0.0,1.0,-1686.43,0.9065
14,1,mall_small,0.25,0,108.0,300,0.0,0.0,1.0,-1367.32,0.8992
15,1,mall_small,0.25,0,175.0,300,0.0,0.0,1.0,-1480.87,0.8913
16,1,mall_small,0.25,0,58.0,300,0.0,0.0,1.0,-1271.99,0.8843
17,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1739.73,0.8756
18,1,mall_small,0.25,0,212.0,300,0.0,0.0,1.0,-1526.85,0.8674
19,1,mall_small,0.25,0,64.0,300,0.0,0.0,1.0,-1259.83,0.8604
20,1,mall_small,0.25,0,194.0,300,0.0,0.0,1.0,-1493.44,0.8524
21,1,mall_small,0.25,0,37.0,300,0.0,0.0,1.0,-1241.3,0.8455
22,1,mall_small,0.75,0,189.33,300,0.0,0.0,1.0,-949.42,0.8392
