episode_global,stage,map_name,evacuation_rate,all_evacuated,mean_evac_time,steps,mean_emotion_final,emotion_variance,mean_speed_ratio,total_reward,epsilon
1,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-120.5,1.0
2,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-134.68,0.9946
3,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-119.07,0.9783
4,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-140.64,0.962
5,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-119.87,0.9457
6,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-121.77,0.9294
7,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-103.64,0.9131
8,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-98.09,0.8969
9,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-105.66,0.8806
10,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-93.69,0.8643
11,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-106.32,0.848
12,1,mall_small,0.75,0,179.33,300,0.0,0.0,1.0,167.53,0.8367
13,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-95.25,0.8204
14,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-100.34,0.8041
15,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-107.62,0.7878
16,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-105.28,0.7715
17,1,mall_small,0.25,0,91.0,300,0.0,0.0,1.0,-9.8,0.758
18,1,mall_small,0.25,0,228.0,300,0.0,0.0,1.0,10.85,0.7427
19,1,mall_small,0.25,0,48.0,300,0.0,0.0,1.0,3.83,0.7299
20,1,mall_small,0.5,0,151.5,300,0.0,0.0,1.0,92.81,0.7176
21,1,mall_small,0.25,0,282.0,300,0.0,0.0,1.0,10.98,0.7016
22,1,mall_small,0.25,0,71.0,300,0.0,0.0,1.0,-3.78,0.6884
23,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-83.3,0.6721
24,1,mall_small,0.5,0,146.0,300,0.0,0.0,1.0,114.76,0.66
25,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-79.58,0.6437
26,1,mall_small,0.25,0,222.0,300,0.0,0.0,1.0,-1.68,0.6285
27,1,mall_small,0.25,0,274.0,300,0.0,0.0,1.0,3.96,0.6126
