episode_global,stage,map_name,evacuation_rate,all_evacuated,mean_evac_time,steps,mean_emotion_final,emotion_variance,mean_speed_ratio,total_reward,epsilon
1,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1179.3,1.0
2,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1188.27,0.9971
3,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1179.79,0.9883
4,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1188.99,0.9795
5,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1177.96,0.9708
6,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1186.76,0.962
7,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1176.49,0.9532
8,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1164.38,0.9445
9,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1180.34,0.9357
10,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1166.68,0.9269
11,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1157.47,0.9182
12,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1148.7,0.9094
13,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1150.55,0.9006
14,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1162.81,0.8918
15,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1164.38,0.8831
16,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1186.71,0.8743
17,1,mall_small,0.25,0,78.0,300,0.0,0.0,1.0,-882.12,0.8672
18,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1169.87,0.8584
19,1,mall_small,0.25,0,20.0,300,0.0,0.0,1.0,-818.9,0.8517
20,1,mall_small,0.25,0,132.0,300,0.0,0.0,1.0,-900.8,0.8441
21,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1151.53,0.8354
22,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1161.35,0.8266
23,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1146.07,0.8178
24,1,mall_small,0.25,0,16.0,300,0.0,0.0,1.0,-787.06,0.8111
25,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1165.15,0.8024
26,1,mall_small,0.25,0,46.0,300,0.0,0.0,1.0,-811.68,0.7954
27,1,mall_small,0.5,0,63.0,300,0.0,0.0,1.0,-507.15,0.7902
28,1,mall_small,0.25,0,217.0,300,0.0,0.0,1.0,-1003.43,0.782
29,1,mall_small,0.5,0,96.0,300,0.0,0.0,1.0,-555.51,0.7762
30,1,mall_small,0.5,0,131.5,300,0.0,0.0,1.0,-665.55,0.7699
31,1,mall_small,0.25,0,104.0,300,0.0,0.0,1.0,-877.87,0.7626
32,1,mall_small,0.5,0,129.0,300,0.0,0.0,1.0,-640.75,0.7563
33,1,mall_small,0.25,0,113.0,300,0.0,0.0,1.0,-881.41,0.7489
