episode_global,stage,map_name,evacuation_rate,all_evacuated,mean_evac_time,steps,mean_emotion_final,emotion_variance,mean_speed_ratio,total_reward,epsilon
1,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1187.97,1.0
2,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1176.69,0.9971
3,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1194.69,0.9883
4,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1188.86,0.9795
5,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1166.03,0.9708
6,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1190.11,0.962
7,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1174.2,0.9532
8,1,mall_small,0.25,0,271.0,300,0.0,0.0,1.0,-1073.93,0.9447
9,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1176.01,0.9359
10,1,mall_small,0.25,0,90.0,300,0.0,0.0,1.0,-878.43,0.9287
11,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1171.2,0.9199
12,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1164.84,0.9111
13,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1165.45,0.9024
14,1,mall_small,0.25,0,209.0,300,0.0,0.0,1.0,-1002.35,0.8943
15,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1174.42,0.8855
16,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1179.05,0.8767
17,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1156.38,0.868
18,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1179.08,0.8592
19,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1160.13,0.8504
20,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1155.36,0.8417
21,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1187.95,0.8329
22,1,mall_small,0.25,0,284.0,300,0.0,0.0,1.0,-1035.59,0.8242
