episode_global,stage,map_name,evacuation_rate,all_evacuated,mean_evac_time,steps,mean_emotion_final,emotion_variance,mean_speed_ratio,total_reward,epsilon
1,1,mall_small,0.25,0,88.0,300,0.0,0.0,1.0,-4500.46,1.0
2,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-5573.28,0.9986
3,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-5654.22,0.9899
4,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-5507.65,0.9811
5,1,mall_small,0.25,0,68.0,300,0.0,0.0,1.0,-4315.35,0.974
6,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-5547.25,0.9652
7,1,mall_small,0.25,0,159.0,300,0.0,0.0,1.0,-4914.68,0.9575
8,1,mall_small,0.5,0,171.5,300,0.0,0.0,1.0,-4167.6,0.9506
9,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-5622.25,0.9419
10,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-5600.53,0.9331
11,1,mall_small,0.25,0,168.0,300,0.0,0.0,1.0,-4821.56,0.9253
12,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-5690.9,0.9165
13,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-5542.19,0.9077
14,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-5595.96,0.899
15,1,mall_small,0.25,0,95.0,300,0.0,0.0,1.0,-4360.44,0.8917
16,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-5500.25,0.8829
17,1,mall_small,0.25,0,149.0,300,0.0,0.0,1.0,-4655.66,0.8753
18,1,mall_small,0.25,0,274.0,300,0.0,0.0,1.0,-5192.01,0.8667
19,1,mall_small,0.25,0,106.0,300,0.0,0.0,1.0,-4538.42,0.8593
20,1,mall_small,0.25,0,38.0,300,0.0,0.0,1.0,-4169.18,0.8525
21,1,mall_small,0.25,0,115.0,300,0.0,0.0,1.0,-4500.78,0.845
22,1,mall_small,0.25,0,172.0,300,0.0,0.0,1.0,-4730.91,0.8372
23,1,mall_small,0.25,0,45.0,300,0.0,0.0,1.0,-4162.93,0.8303
24,1,mall_small,0.25,0,290.0,300,0.0,0.0,1.0,-5233.11,0.8216
25,1,mall_small,0.25,0,173.0,300,0.0,0.0,1.0,-4789.99,0.8138
26,1,mall_small,0.25,0,65.0,300,0.0,0.0,1.0,-4238.48,0.8067
27,1,mall_small,0.25,0,217.0,300,0.0,0.0,1.0,-5002.37,0.7986
28,1,mall_small,0.25,0,79.0,300,0.0,0.0,1.0,-4339.25,0.7914
29,1,mall_small,0.25,0,116.0,300,0.0,0.0,1.0,-4494.9,0.784
30,1,mall_small,0.25,0,217.0,300,0.0,0.0,1.0,-5031.24,0.7758
31,1,mall_small,0.5,0,99.0,300,0.0,0.0,1.0,-3310.33,0.77
32,1,mall_small,0.5,0,223.0,300,0.0,0.0,1.0,-4478.69,0.7624
33,1,mall_small,0.5,0,80.0,300,0.0,0.0,1.0,-3119.52,0.7568
34,1,mall_small,0.5,0,128.0,300,0.0,0.0,1.0,-3578.43,0.7505
