episode_global,stage,map_name,evacuation_rate,all_evacuated,mean_evac_time,steps,mean_emotion_final,emotion_variance,mean_speed_ratio,total_reward,epsilon
1,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1735.54,1.0
2,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1712.18,0.9971
3,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1704.65,0.9883
4,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1734.75,0.9795
5,1,mall_small,0.5,0,109.0,300,0.0,0.0,1.0,-1016.84,0.9736
6,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1688.28,0.9648
7,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1693.46,0.956
8,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1712.18,0.9473
9,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1699.26,0.9385
10,1,mall_small,0.25,0,35.0,300,0.0,0.0,1.0,-1251.53,0.9317
11,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1710.85,0.9229
12,1,mall_small,0.5,0,90.0,300,0.0,0.0,1.0,-924.8,0.9172
13,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1625.07,0.9084
14,1,mall_small,0.25,0,205.0,300,0.0,0.0,1.0,-1460.55,0.9004
15,1,mall_small,0.25,0,200.0,300,0.0,0.0,1.0,-1461.36,0.8923
16,1,mall_small,0.5,0,176.5,300,0.0,0.0,1.0,-1159.99,0.8853
17,1,mall_small,0.25,0,78.0,300,0.0,0.0,1.0,-1263.06,0.8782
18,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1648.65,0.8694
19,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1651.97,0.8607
20,1,mall_small,0.5,0,223.5,300,0.0,0.0,1.0,-1294.47,0.853
21,1,mall_small,0.5,0,132.5,300,0.0,0.0,1.0,-1008.76,0.8467
22,1,mall_small,0.25,0,261.0,300,0.0,0.0,1.0,-1532.08,0.8382
23,1,mall_small,0.75,0,107.33,300,0.0,0.0,1.0,-565.26,0.8336
24,1,mall_small,0.5,0,239.5,300,0.0,0.0,1.0,-1271.62,0.8258
25,1,mall_small,0.5,0,145.0,300,0.0,0.0,1.0,-1065.88,0.8193
26,1,mall_small,0.5,0,147.0,300,0.0,0.0,1.0,-996.26,0.8127
27,1,mall_small,0.25,0,72.0,300,0.0,0.0,1.0,-1265.04,0.8056
28,1,mall_small,0.25,0,84.0,300,0.0,0.0,1.0,-1249.55,0.7984
29,1,mall_small,0.5,0,134.5,300,0.0,0.0,1.0,-956.28,0.7921
30,1,mall_small,0.5,0,77.5,300,0.0,0.0,1.0,-871.87,0.7866
31,1,mall_small,0.5,0,164.0,300,0.0,0.0,1.0,-1065.08,0.7798
32,1,mall_small,0.5,0,131.5,300,0.0,0.0,1.0,-992.46,0.7735
33,1,mall_small,0.25,0,184.0,300,0.0,0.0,1.0,-1357.5,0.7656
34,1,mall_small,0.25,0,167.0,300,0.0,0.0,1.0,-1412.15,0.7578
35,1,mall_small,0.75,0,106.67,300,0.0,0.0,1.0,-582.14,0.7532
36,1,mall_small,0.5,0,94.5,300,0.0,0.0,1.0,-905.92,0.7475
37,1,mall_small,0.5,0,101.5,300,0.0,0.0,1.0,-888.14,0.7416
38,1,mall_small,0.75,0,93.67,300,0.0,0.0,1.0,-522.95,0.7374
39,1,mall_small,0.5,0,227.0,300,0.0,0.0,1.0,-1237.24,0.7296
40,1,mall_small,0.75,0,149.0,300,0.0,0.0,1.0,-684.93,0.7242
41,1,mall_small,0.75,0,67.33,300,0.0,0.0,1.0,-419.83,0.7205
42,1,mall_small,0.5,0,178.5,300,0.0,0.0,1.0,-1064.73,0.7135
43,1,mall_small,0.25,0,131.0,300,0.0,0.0,1.0,-1286.63,0.706
44,1,mall_small,0.75,0,217.67,300,0.0,0.0,1.0,-977.23,0.699
45,1,mall_small,0.5,0,162.5,300,0.0,0.0,1.0,-1082.8,0.6923
46,1,mall_small,0.5,0,40.5,300,0.0,0.0,1.0,-778.04,0.6873
47,1,mall_small,0.75,0,154.33,300,0.0,0.0,1.0,-693.23,0.6817
48,1,mall_small,0.75,0,167.0,300,0.0,0.0,1.0,-765.26,0.6759
49,1,mall_small,0.75,0,54.0,300,0.0,0.0,1.0,-341.95,0.6725
50,1,mall_small,0.75,0,196.0,300,0.0,0.0,1.0,-860.83,0.666
51,1,mall_small,1.0,1,188.75,296,0.0,0.0,1.0,-598.2,0.6605
52,1,mall_small,0.5,0,115.0,300,0.0,0.0,1.0,-909.95,0.6544
53,1,mall_small,0.5,0,118.0,300,0.0,0.0,1.0,-937.28,0.6483
54,1,mall_small,0.75,0,121.0,300,0.0,0.0,1.0,-601.98,0.6435
55,1,mall_small,0.75,0,154.33,300,0.0,0.0,1.0,-750.8,0.6379
56,1,mall_small,0.75,0,127.0,300,0.0,0.0,1.0,-618.97,0.6329
57,1,mall_small,0.75,0,121.67,300,0.0,0.0,1.0,-548.15,0.628
58,1,mall_small,0.75,0,188.67,300,0.0,0.0,1.0,-844.68,0.6217
59,1,mall_small,0.75,0,160.0,300,0.0,0.0,1.0,-741.13,0.616
60,1,mall_small,0.75,0,196.67,300,0.0,0.0,1.0,-853.97,0.6095
61,1,mall_small,1.0,1,164.5,269,0.0,0.0,1.0,-470.63,0.6047
62,1,mall_small,1.0,1,138.0,284,0.0,0.0,1.0,-351.56,0.6007
63,1,mall_small,1.0,1,127.5,223,0.0,0.0,1.0,-281.97,0.5969
64,1,mall_small,1.0,1,134.25,218,0.0,0.0,1.0,-294.19,0.593
65,1,mall_small,0.75,0,84.33,300,0.0,0.0,1.0,-443.55,0.589
66,1,mall_small,1.0,1,102.0,210,0.0,0.0,1.0,-139.15,0.586
67,1,mall_small,1.0,1,132.25,228,0.0,0.0,1.0,-296.83,0.5821
68,1,mall_small,0.75,0,153.33,300,0.0,0.0,1.0,-671.57,0.5766
69,1,mall_small,1.0,1,149.75,280,0.0,0.0,1.0,-414.36,0.5722
70,1,mall_small,1.0,1,112.0,209,0.0,0.0,1.0,-188.11,0.5689
71,1,mall_small,1.0,1,137.25,268,0.0,0.0,1.0,-340.95,0.5649
