episode_global,stage,map_name,evacuation_rate,all_evacuated,mean_evac_time,steps,mean_emotion_final,emotion_variance,mean_speed_ratio,total_reward,epsilon
1,1,mall_small,0.25,0,190.0,300,0.0,0.0,1.0,-1722.43,1.0
2,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-2007.14,0.9979
3,1,mall_small,0.25,0,90.0,300,0.0,0.0,1.0,-1591.98,0.9906
4,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-2073.89,0.9819
5,1,mall_small,0.25,0,72.0,300,0.0,0.0,1.0,-1436.55,0.9748
6,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-2062.53,0.966
7,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1895.15,0.9572
8,1,mall_small,0.25,0,189.0,300,0.0,0.0,1.0,-1602.61,0.9493
9,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1939.86,0.9405
10,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1909.86,0.9317
11,1,mall_small,0.25,0,88.0,300,0.0,0.0,1.0,-1533.2,0.9245
12,1,mall_small,0.5,0,143.0,300,0.0,0.0,1.0,-1177.2,0.918
13,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1830.14,0.9093
14,1,mall_small,0.25,0,110.0,300,0.0,0.0,1.0,-1457.16,0.9019
15,1,mall_small,0.25,0,18.0,300,0.0,0.0,1.0,-1404.78,0.8952
16,1,mall_small,0.25,0,63.0,300,0.0,0.0,1.0,-1367.84,0.8882
17,1,mall_small,0.5,0,44.0,300,0.0,0.0,1.0,-918.08,0.8831
18,1,mall_small,0.5,0,173.5,300,0.0,0.0,1.0,-1300.34,0.8762
19,1,mall_small,0.25,0,109.0,300,0.0,0.0,1.0,-1425.08,0.8688
20,1,mall_small,0.25,0,83.0,300,0.0,0.0,1.0,-1340.04,0.8617
21,1,mall_small,0.0,0,300,300,0.0,0.0,1.0,-1911.92,0.8529
22,1,mall_small,0.5,0,154.0,300,0.0,0.0,1.0,-1248.8,0.8462
23,1,mall_small,0.5,0,166.0,300,0.0,0.0,1.0,-1235.23,0.8394
24,1,mall_small,0.5,0,99.5,300,0.0,0.0,1.0,-1088.51,0.8336
25,1,mall_small,0.75,0,164.33,300,0.0,0.0,1.0,-959.66,0.8278
26,1,mall_small,0.25,0,292.0,300,0.0,0.0,1.0,-1682.73,0.8191
27,1,mall_small,0.25,0,251.0,300,0.0,0.0,1.0,-1616.23,0.8107
28,1,mall_small,0.5,0,155.5,300,0.0,0.0,1.0,-1183.65,0.804
29,1,mall_small,0.5,0,152.0,300,0.0,0.0,1.0,-1217.59,0.7974
30,1,mall_small,0.5,0,237.0,300,0.0,0.0,1.0,-1449.59,0.7896
31,1,mall_small,0.5,0,241.0,300,0.0,0.0,1.0,-1522.13,0.7816
32,1,mall_small,0.75,0,148.0,300,0.0,0.0,1.0,-917.3,0.7762
33,1,mall_small,0.5,0,133.0,300,0.0,0.0,1.0,-1145.65,0.7699
34,1,mall_small,0.25,0,116.0,300,0.0,0.0,1.0,-1401.76,0.7625
35,1,mall_small,0.5,0,237.5,300,0.0,0.0,1.0,-1519.47,0.7546
36,1,mall_small,0.75,0,134.0,300,0.0,0.0,1.0,-769.28,0.7495
37,1,mall_small,0.75,0,159.67,300,0.0,0.0,1.0,-891.31,0.7438
38,1,mall_small,0.75,0,133.33,300,0.0,0.0,1.0,-758.67,0.7387
39,1,mall_small,0.5,0,138.5,300,0.0,0.0,1.0,-1086.69,0.7323
40,1,mall_small,0.5,0,201.0,300,0.0,0.0,1.0,-1410.07,0.7249
41,1,mall_small,0.75,0,110.33,300,0.0,0.0,1.0,-712.47,0.7203
42,1,mall_small,0.75,0,148.0,300,0.0,0.0,1.0,-859.29,0.7149
43,1,mall_small,0.25,0,71.0,300,0.0,0.0,1.0,-1338.22,0.7078
44,1,mall_small,0.75,0,92.67,300,0.0,0.0,1.0,-635.87,0.7036
